sum,sport,science,social,purity,marks_clear,ID
18,5,5,0,0,8,74422
16.93,5,5,0,0,6.93,82131
16,5,3,0,0,8,75268
15,3,4,0,0,8,82727
14.64,0,5,5,0,4.64,75313
14.6,0,5,5,0,4.6,81235
14,0,5,1,0,8,72556
14,1,5,0,0,8,69504
14,4,2,0,0,8,75240
13.93,2,5,0,0,6.93,82132
13.88,0,5,3,0,5.88,76008
13.8,0,3,5,0,5.8,75438
13.8,0,5,3,0,5.8,80784
13.71,5,4,0,0,4.71,80678
13,0,5,0,0,8,82126
13,0,5,0,0,8,72586
13,0,5,0,0,8,81228
13,0,5,0,0,8,90430
13,0,5,0,0,8,81257
13,0,5,0,0,8,72560
13,0,5,0,0,8,69071
13,0,5,0,0,8,72504
13,0,5,0,0,8,90446
13,0,5,0,0,8,69927
13,0,5,0,0,8,72292
13,0,5,0,0,8,72544
13,0,5,0,0,8,71724
13,0,5,0,0,8,90137
13,0,5,0,0,8,33769
13,0,5,0,0,8,63277
13,0,5,0,0,8,63529
13,0,5,0,0,8,65735
13,0,5,0,0,8,65866
13,0,5,0,0,8,69069
13,0,5,0,0,8,69506
13,0,5,0,0,8,75181
13,0,5,0,0,8,90656
13,0,5,0,0,8,96752
13,0,5,0,0,8,75780
13,0,5,0,0,8,76241
12.33,0,5,3,0,4.33,80611
12,0,4,0,0,8,72590
12,0,4,0,0,8,90136
12,0,4,0,0,8,66344
11.94,0,5,0,0,6.94,81232
11.93,0,5,0,0,6.93,75779
11.93,0,5,0,0,6.93,88789
11.8,0,5,1,0,5.8,81264
11.67,2,5,0,0,4.67,73287
11.43,0,3,1.5,0,6.93,81263
11,0,3,0,0,8,72563
11,0,3,0,0,8,72290
10.95,0,4,0,0,6.95,80907
10.93,0,3,1,0,6.93,75323
10.88,0,5,0,0,5.88,76269
10.87,0,5,0,0,5.87,97331
10.86,0,5,0,0,5.86,95339
10.81,0,5,0,0,5.81,81945
10.8,0,5,0,0,5.8,0
10.5,0,3,3,0,4.5,81411
10,0,2,0,0,8,82129
10,0,2,0,0,8,76255
10,0,2,0,0,8,97332
9.88,0,2,2,0,5.88,80891
9.79,0,5,0,0,4.79,97370
9.76,0,5,0,0,4.76,81722
9.75,0,5,0,0,4.75,69472
9.75,0,5,0,0,4.75,90465
9.71,0,5,0,0,4.71,80905
9.71,0,5,0,0,4.71,80726
9.71,0,5,0,0,4.71,80892
9.69,0,0,5,0,4.69,80783
9.67,0,5,0,0,4.67,71790
9.67,0,5,0,0,4.67,71691
9.64,0,5,0,0,4.64,75517
9.64,0,5,0,0,4.64,96023
9.64,0,5,0,0,4.64,97354
9.53,0,5,0,0,4.53,75776
9.5,0,4,1,0,4.5,81980
9.5,0,2,3,0,4.5,81474
9.43,0,5,0,0,4.43,81384
9.42,0,5,0,0,4.42,86829
9,0,0,1,0,8,86972
9,0,1,0,0,8,
8.94,0,2,0,0,6.94,81221
8.93,0,0,2,0,6.93,76459
8.69,0,4,0,0,4.69,76243
8.67,3,1,0,0,4.67,81260
8,0,0,0,0,8,97478
8,0,0,0,0,8,75320
8,0,0,0,0,8,75998
7.92,0,1,0,0,6.92,75804
7.75,2,0,1,0,4.75,81258
7.67,0,3,0,0,4.67,97349
7.57,3,0,0,0,4.57,81764
7.36,0,2,1,0,4.36,82128
6.94,0,0,0,0,6.94,66312
6.93,0,0,0,0,6.93,96022
6.93,0,0,0,0,6.93,96024
6.93,0,0,0,0,6.93,97330
6.75,0,2,0,0,4.75,90134
6.74,0,2,0,0,4.74,81682
6.71,0,2,0,0,4.71,81230
6.5,0,2,0,0,4.5,82459
6.5,0,2,0,0,4.5,65869
6.38,0,2,0,0,4.38,76245
5.89,0,0,0,0,5.89,97386
5.86,0,0,0,0,5.86,82044
5.75,0,0,0,0,5.75,80687
5.61,0,1,0,0,4.61,75796
5,0,5,0,0,0,71665
4.79,0,0,0,0,4.79,72555
4.77,0,0,0,0,4.77,82127
4.69,0,0,0,0,4.69,90450
4.67,0,0,0,0,4.67,80604
4.63,0,0,0,0,4.63,75805
4.59,0,0,0,0,4.59,81256
4.57,0,0,0,0,4.57,81296
4.56,0,0,0,0,4.56,75334
4.5,0,0,0,0,4.5,81265
4.46,0,0,0,0,4.46,76266
4.38,0,0,0,0,4.38,80834
4.32,0,0,0,0,4.32,75215
4.31,0,0,0,0,4.31,81234
4.21,0,0,0,0,4.21,72547
4,0,0,0,0,4,81259
0,0,0,0,0,0,72312
0,0,0,0,0,0,76248
18.8,5,4,5,0,4.8,90591
17,4,5,0,0,8,85677
16.4,2,2,5,0.5,6.9,86465
16,0,3,5,0,8,90703
15.5,0,5,5,1,4.5,90251
15.2,0,5,5,0.5,4.7,85676
14.4,0,3,5,0.5,5.9,85609
14,0,3,2,1,8,90710
14,5,1,0,0,8,86351
14,3,3,0,0,8,90721
13.9,1,3,3,0,6.9,85261
13.7,0,5,5,0,3.7,85605
13.5,0,4,1,0.5,8,85672
13,0,0,5,0,8,86468
13,0,0,5,0,8,85259
13,1,3,5,0,4,90720
13,1,0,5,0,7,85193
12.9,2,4,0,0,6.9,85680
12.8,5,2,0,0,5.8,90249
12.7,0,5,3,0,4.7,85608
12.5,3,0,5,0,4.5,85611
12.3,0,1,5,0.5,5.8,90254
12,0,4,0,0,8,96101
11.9,0,0,5,0,6.9,90578
11.3,0,0,5,0.5,5.8,90590
11,1,2,0,0,8,85257
10.9,1,0,5,1,3.9,90901
10.7,0,0,5,1,4.7,90582
10.2,1,1,4,0,4.2,90234
10.2,1,0,5,0,4.2,90583
10.11,4,2,0,0,4.11,85673
10,0,2,0,0,8,85657
10,0,2,0,0,8,84621
9.9,0,0,5,0.5,4.4,90242
9.7,0,0,5,0.5,4.2,90581
9.68,0,5,0,0,4.68,96112
9.6,2,0,3,0.5,4.1,86358
9.4,0,5,0,0,4.4,85675
9.39,0,0,5,0,4.39,90239
9.4,0,0,5,0,4.4,85668
9.3,0,0,3,0.5,5.8,85191
9.3,1,2,0,0.5,5.8,86353
9.3,0,0,5,0,4.3,90580
9.3,5,0,0,0,4.3,90243
9.3,0,0,5,0,4.3,85613
9.32,0,0,5,0,4.32,95188
9.22,0,0,5,0,4.22,96124
9.2,0,0,5,0,4.2,90898
9.16,0,0,5,0,4.16,95712
9.1,0,0,5,0,4.1,85607
9,1,0,0,0,8,96770
8.9,0,0,4,0.5,4.4,90579
8.9,0,0,2,0,6.9,85659
8.9,0,0,5,0,3.9,85663
8.8,1.5,0,3,0,4.3,90707
8.76,0,0,5,0,3.76,95832
8.7,0,0,5,0,3.7,82040
8.7,0,0,4,0.5,4.2,90587
8.6,0,3,1,0,4.6,91422
8.59,0,0,5,0,3.59,97558
8.5,0,0,1,0.5,7,90904
8.4,0,0,4,0,4.4,90900
8.1,0,0,3,0.5,4.6,84393
8.03,1,0,2,0.5,4.53,96186
8,0,0,0,0,8,90244
8,0,0,0,0,8,85686
7.95,1,0,0,0,6.95,96145
7.95,1,0,0,0,6.95,96126
7.9,0,1,1,0,5.9,85683
7.8,0,0,3,0.5,4.3,82333
7.6,0,2,1,0.5,4.1,85606
7.6,3,0,0,0,4.6,85687
7.5,2,1,0,0,4.5,90715
7.42,0,3,0,0,4.42,96138
7.4,0,0,3,0,4.4,90252
7.35,0,0,3,0,4.35,96151
7.32,0,0,3,0,4.32,96146
7.16,0,0,3,0,4.16,96149
7.05,0,3,0,0,4.05,96118
7,0,0,3,0,4,96140
6.94,0,0,0,0,6.94,96169
6.9,0,0,0,0,6.9,87172
6.9,0,0,0,0,6.9,85684
6.9,0,0,0,0,6.9,90897
6.88,2,0,1,0,3.88,95953
6.9,0,0,1,0,5.9,85692
6.9,0,1,0,0,5.9,90704
6.68,0,0,2,0,4.68,96107
6.7,0,0,3,0,3.7,90899
6.59,0,0,2,0,4.59,96187
6.53,0,0,2,0,4.53,95910
6.53,0,0,2,0,4.53,96116
6.4,0.5,0,2,0,3.9,87084
6.3,0,0,0,0.5,5.8,90245
6.32,0,0,0,0.5,5.82,96157
6.24,0,2,0,0,4.24,96165
6.21,0,1,1,0,4.21,96142
6.13,1.5,0,0,0,4.63,96123
5.9,0,0,0,0,5.9,90237
5.88,0,0,0,0,5.88,96154
5.82,0,0,0,0,5.82,95769
5.82,0,0,0,0,5.82,96156
5.78,0,1,1,0,3.78,95670
5.7,0,0,0,1,4.7,85669
5.74,0,0,1,0,4.74,96110
5.69,0,0,1,0.5,4.19,96170
5.6,1,0,0,0,4.6,86359
5.6,1,0,0,0,4.6,86357
5.6,0,0,1,0.5,4.1,90592
5.6,0,0,1,0,4.6,87170
5.5,1,0,0,0,4.5,87021
5.5,0,0,0,1,4.5,85241
5.44,0.5,1,0,0,3.94,96176
5.44,0,2,0,0,3.44,90718
5.24,0,0,1,0,4.24,95184
5.19,0,0,1,0,4.19,96182
5.1,0,0,0,0.5,4.6,90233
5.11,0,1,0,0,4.11,96148
5.09,0,0,0,0.5,4.59,96166
5.08,0,0,0,0.5,4.58,96119
5,1,0,0,0,4,86460
5,0,0,0,0.5,4.5,85693
5,0,0,0,0.5,4.5,85682
5,0,0,1,0,4,95592
4.94,0,0,1,0,3.94,95809
4.89,0,0,1,0,3.89,96194
4.84,0,0,1,0,3.84,96147
4.8,0,0,0,0,4.8,85688
4.8,1,0,0,0,3.8,93225
4.76,0,0,0,0,4.76,96172
4.76,0,0,1,0,3.76,96189
4.76,0,0,0,0,4.76,96164
4.8,0,0,0,0,4.8,90713
4.74,0,0,0,0,4.74,96133
4.7,0,0,0,0,4.7,90247
4.7,0,0,0,0.5,4.2,90586
4.71,0,0,0,0.5,4.21,96103
4.71,0,0,0,0,4.71,96168
4.7,0,0,0,0.5,4.2,90902
4.7,0,0,0,0,4.7,86355
4.68,0,0,0,0,4.68,96143
4.68,0,0,0,0,4.68,96109
4.7,0,0,0,0,4.7,85658
4.65,0,0,0,0,4.65,96150
4.65,0,0,0,0,4.65,96155
4.64,0,0,0,0,4.64,99480
4.63,0,0,0,0,4.63,95690
4.63,0,0,0,0,4.63,96113
4.62,0.5,0,0,0,4.12,97110
4.6,0,0,0,0,4.6,80729
4.59,0,0,0,0,4.59,96188
4.59,0,0,0,0,4.59,96060
4.58,0,0,0,0,4.58,96122
4.5,0,0,0,0,4.5,85696
4.53,0,0,0,0,4.53,95774
4.53,0,0,0,0,4.53,95971
4.53,0,0,0,0,4.53,96141
4.5,0,0,0,0,4.5,82829
4.5,0,0,0,0.5,4,85618
4.5,0,0,0,0.5,4,96120
4.5,0,0,0,0,4.5,97559
4.47,0,0,0,0,4.47,97113
4.47,0,0,0,0,4.47,96190
4.47,0,0,0,0,4.47,96160
4.47,0,0,0,0,4.47,95825
4.42,0,0,0,0,4.42,96181
4.42,0,0,0,0,4.42,90248
4.37,0,0,0,0,4.37,96105
4.37,0,0,0,0,4.37,96127
4.37,0,0,0,0,4.37,97586
4.4,0,0,0,0,4.4,86462
4.4,0,0,0,0,4.4,86173
4.35,0,0,0,0,4.35,95934
4.3,0,0,0,0,4.3,69587
4.32,0,0,0,0,4.32,96195
4.32,0,0,0,0,4.32,96108
4.29,0,0,0,0,4.29,96163
4.28,0,0,0,0,4.28,96111
4.28,0,0,0,0,4.28,95668
4.26,0,0,0,0,4.26,96125
4.24,0,0,0,0,4.24,96152
4.24,0,0,0,0,4.24,96158
4.24,0,0,0,0,4.24,95685
4.24,0,0,0,0,4.24,96771
4.22,0,0,0,0,4.22,97170
4.2,0,0,0,0,4.2,84677
4.21,0,0,0,0,4.21,96768
4.17,0,0,0,0,4.17,96106
4.13,0,0,0,0,4.13,96167
4.1,0,0,0,0,4.1,81340
4.1,0,0,0,0,4.1,90708
4.11,0,0,0,0,4.11,90584
4.1,0,0,0,0,4.1,81891
4.1,0,0,0,0,4.1,93177
4.06,0,0,0,0,4.06,96135
4,0,0,0,0,4,90903
4,0,0,0,0,4,96161
4,0,0,0,0,4,95975
4,0,0,0,0,4,96183
4,0,0,0,0,4,96180
3.95,0,0,0,0,3.95,96134
3.94,0,0,0,0,3.94,96059
3.94,0,0,0,0,3.94,95663
3.94,0,0,0,0,3.94,96175
3.94,0,0,0,0,3.94,96177
3.91,0,0,0,0,3.91,90241
3.88,0,0,0,0,3.88,96129
3.9,0,0,0,0,3.9,85656
3.84,0,0,0,0,3.84,96061
3.84,0,0,0,0,3.84,96115
3.84,0,0,0,0,3.84,96102
3.82,0,0,0,0,3.82,96171
3.82,0,0,0,0,3.82,96178
3.82,0,0,0,0,3.82,96192
3.82,0,0,0,0,3.82,96185
3.8,0,0,0,0,3.8,80787
3.76,0,0,0,0,3.76,96193
3.8,0,0,0,0,3.8,85679
3.76,0,0,0,0,3.76,95935
3.75,0,0,0,0,3.75,95917
3.75,0,0,0,0,3.75,96179
3.6,0,0,0,0,3.6,80582
3.6,0,0,0,0,3.6,72825
2.3,0,0,0,0,2.3,71950
2,0,2,0,0,0,81268
1,1,0,0,0,0,80826
0,0,0,0,0,0,96128
0,0,0,0,0,0,96137
0,0,0,0,0,0,96132
0,0,0,0,0,0,82039
0,0,0,0,0,0,85260
